OrderID,OrderDate,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,CustomerID,Region,InventoryAtStart,ReorderPoint,LeadTimeDays,SupplierID
O48,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,7,1799.74,0.0,C2896,South,499,74,10,S5
O49,2024-04-01,P1017,HOM-STO-1017,Home & Kitchen,Storage,4,6305.18,0.15,C2522,East,167,51,14,S12
O50,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3265.44,0.05,C44,Central,405,55,8,S14
O51,2024-04-01,P1033,BEA-HAI-1033,Beauty,Haircare,1,7447.75,0.15,C1709,West,482,44,15,S8
O52,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,11,5787.48,0.0,C5201,South,440,79,11,S8
O53,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,4,1930.36,0.0,C1597,West,463,30,10,S5
O54,2024-04-01,P1005,ELE-WEA-1005,Electronics,Wearables,9,4580.93,0.0,C222,West,233,15,4,S14
O55,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3190.54,0.0,C4199,East,449,31,8,S14
O56,2024-04-01,P1004,ELE-MOB-1004,Electronics,Mobile Accessories,4,6468.53,0.0,C1426,West,435,27,10,S9
O57,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,1,3818.92,0.05,C3202,South,499,65,7,S12
O58,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,4,6550.9,0.0,C2448,South,185,23,11,S9
O59,2024-04-01,P1014,HOM-STO-1014,Home & Kitchen,Storage,1,2509.3,0.0,C1811,East,237,72,17,S12
O60,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,4,3771.91,0.1,C2060,South,447,74,13,S13
O61,2024-04-01,P1047,SPO-OUT-1047,Sports,Outdoor Gear,4,7381.65,0.0,C1065,West,94,15,13,S3
O62,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,6,1949.19,0.1,C1700,West,245,27,10,S5
O63,2024-04-01,P1036,BEA-SKI-1036,Beauty,Skincare,7,6952.86,0.15,C1762,NORTH,39,52,11,S2
O64,2024-04-01,P1034,BEA-SKI-1034,Beauty,Skincare,3,7669.96,0.0,C394,North,450,60,17,S4
O65,2024-04-01,P1022,FAS-FOO-1022,Fashion,Footwear,2,2442.7,0.0,C1740,West,73,25,3,S10
O66,2024-04-01,P1011,HOM-STO-1011,Home & Kitchen,Storage,3,3994.33,0.05,C8,North,129,35,6,S12
O67,2024-04-01,P1040,SPO-FIT-1040,Sports,Fitness Equipment,3,5495.56,0.0,C2896,South,43,71,4,S10
O68,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,1,4036.83,0.0,C4270,North,467,27,13,S13
O69,2024-04-01,P1047,SPO-OUT-1047,Sports,Outdoor Gear,1,7605.34,0.0,C2854,East,135,29,13,S3
O70,2024-04-01,P1029,FAS-MEN-1029,Fashion,Men's Apparel,1,1475.29,0.1,C3542,North,450,65,12,S14
O71,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,12,5393.72,0.0,C5172,South,34,39,11,S8
O72,2024-04-01,P1041,SPO-OUT-1041,Sports,Outdoor Gear,4,529.51,0.1,C115,North,392,24,11,S3
O73,2024-04-01,P1016,HOM-COO-1016,Home & Kitchen,Cookware,4,1353.68,0.0,C3467,North,300,52,6,S13
O74,2024-04-01,P1027,FAS-WOM-1027,Fashion,Women's Apparel,4,6414.94,0.0,C5384,East,488,69,6,S5
O75,2024-04-01,P1038,BEA-SKI-1038,Beauty,Skincare,6,7003.82,0.0,C3196,East,368,32,16,S1
O76,2024-04-01,P1011,HOM-STO-1011,Home & Kitchen,Storage,3,3870.35,0.05,C4551,South,470,21,6,S12
O77,2024-04-01,P1019,HOM-COO-1019,Home & Kitchen,Cookware,3,1248.93,0.2,C4092,West,115,78,5,S4
O78,2024-04-01,P1028,FAS-FOO-1028,Fashion,Footwear,11,935.36,0.15,C5476,West,261,21,16,S12
O79,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,2,1850.74,0.2,C4830,West,365,55,10,S5
O80,2024-04-01,P1021,FAS-WOM-1021,Fashion,Women's Apparel,1,5192.52,0.0,C2368,South,24,54,12,S9
O81,2024-04-01,P1034,BEA-SKI-1034,Beauty,Skincare,3,7473.34,0.0,C1994,East,98,18,17,S4
O82,2024-04-01,P1004,ELE-MOB-1004,Electronics,Mobile Accessories,2,6869.69,0.05,C2037,North,249,28,10,S9
O83,2024-04-01,P1024,FAS-WOM-1024,Fashion,Women's Apparel,1,2018.34,0.0,C2729,North,144,15,4,S13
O84,2024-04-01,P1019,HOM-COO-1019,Home & Kitchen,Cookware,3,1263.94,0.0,C2889,West,164,71,5,S4
O85,2024-04-01,P1003,ELE-AUD-1003,Electronics,Audio,5,3108.58,0.0,C2551,West,66,63,19,S3
O86,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,4952.82,0.0,C3701,West,199,52,16,S3
O87,2024-04-01,P1005,ELE-WEA-1005,Electronics,Wearables,10,4682.57,0.0,C3707,SOUTH,106,18,4,S14
O88,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3335.54,0.05,C2700,West,378,37,8,S14
O89,2024-04-01,P1017,HOM-STO-1017,Home & Kitchen,Storage,10,6104.62,0.0,C2159,Central,80,20,14,S12
O90,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,3,3692.47,0.0,C2893,North,95,74,13,S13
O91,2024-04-01,P1008,ELE-WEA-1008,Electronics,Wearables,1,1712.17,0.0,C5826,East,212,57,11,S6
O92,2024-04-01,P1046,SPO-FIT-1046,Sports,Fitness Equipment,3,880.85,0.0,C1124,South,288,18,11,S5
O93,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3261.87,0.05,C325,West,380,68,8,S14
O94,2024-04-01,P1024,FAS-WOM-1024,Fashion,Women's Apparel,2,2124.62,0.0,C1272,South,441,19,4,S13
O95,2024-04-01,P1009,ELE-AUD-1009,Electronics,Audio,8,1417.45,,C438,Central,246,49,15,S12
O96,2024-04-01,P1037,BEA-HAI-1037,Beauty,Haircare,11,2551.89,0.15,C2057,West,209,41,13,S13
O97,2024-04-01,P1045,SPO-OUT-1045,Sports,Outdoor Gear,10,7796.15,0.05,C4399,North,338,72,11,S7
O98,2024-04-01,P1043,SPO-OUT-1043,Sports,Outdoor Gear,3,1473.9,0.05,C1960,North,387,24,19,S5
O99,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6591.09,0.05,C4450,East,117,50,5,S8
O100,2024-04-01,P1027,FAS-WOM-1027,Fashion,Women's Apparel,5,6483.65,0.2,C4209,EAST,281,16,6,S5
O101,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,6,6283.29,0.0,C2657,South,323,67,11,S9
O102,2024-04-01,P1024,FAS-WOM-1024,Fashion,Women's Apparel,6,2015.91,0.0,C1466,NORTH,310,56,4,S13
O103,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,2,3600.86,0.0,C3945,West,411,52,7,S12
O104,2024-04-01,P1047,SPO-OUT-1047,Sports,Outdoor Gear,1,7738.63,0.0,C1007,WEST,132,23,13,S3
O105,2024-04-01,P1013,HOM-COO-1013,Home & Kitchen,Cookware,2,3498.81,0.2,C5676,South,93,41,17,S3
O106,2024-04-01,P1047,SPO-OUT-1047,Sports,Outdoor Gear,3,7342.68,0.05,C3719,West,127,58,13,S3
O107,2024-04-01,P1025,FAS-FOO-1025,Fashion,Footwear,2,2503.02,0.0,C1462,East,260,66,14,S7
O108,2024-04-01,P1010,HOM-COO-1010,Home & Kitchen,Cookware,3,8115.83,0.05,C3917,South,162,44,8,S7
O109,2024-04-01,P1005,ELE-WEA-1005,Electronics,Wearables,10,4521.8,0.1,C1332,NORTH,448,52,4,S14
O110,2024-04-01,P1021,FAS-WOM-1021,Fashion,Women's Apparel,1,5168.23,0.0,C5275,North,264,18,12,S9
O111,2024-04-01,P1041,SPO-OUT-1041,Sports,Outdoor Gear,1,539.0,0.0,C593,EAST,36,63,11,S3
O112,2024-04-01,P1022,FAS-FOO-1022,Fashion,Footwear,1,2653.88,0.1,C4939,EAST,238,68,3,S10
O113,2024-04-01,P1043,SPO-OUT-1043,Sports,Outdoor Gear,1,1493.5,0.05,C1964,South,381,50,19,S5
O114,2024-04-01,P1004,ELE-MOB-1004,Electronics,Mobile Accessories,2,6783.97,0.0,C4502,North,384,20,10,S9
O115,2024-04-01,P1009,ELE-AUD-1009,Electronics,Audio,9,1470.21,0.1,C5735,North,438,55,15,S12
O116,2024-04-01,P1027,FAS-WOM-1027,Fashion,Women's Apparel,4,6687.25,0.1,C1325,North,274,18,6,S5
O117,2024-04-01,P1000,ELE-AUD-1000,Electronics,Audio,1,3593.78,0.0,C1552,West,383,37,18,S7
O118,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6214.01,0.0,C3368,East,326,58,5,S8
O119,2024-04-01,P1003,ELE-AUD-1003,Electronics,Audio,1,3214.21,0.0,C4642,North,330,69,19,S3
O120,2024-04-01,P1019,HOM-COO-1019,Home & Kitchen,Cookware,3,1301.49,0.0,C5342,North,164,59,5,S4
O121,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,4,5834.19,0.0,C1082,South,173,30,11,S8
O122,2024-04-01,P1014,HOM-STO-1014,Home & Kitchen,Storage,3,2749.74,0.1,C332,North,381,21,17,S12
O123,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,2,7969.05,0.1,C621,East,413,24,19,S7
O124,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,1,3639.79,0.0,C5981,Central,61,52,7,S12
O125,2024-04-01,P1048,SPO-FIT-1048,Sports,Fitness Equipment,5,2255.19,0.2,C4832,East,210,45,8,S15
O126,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,2,1890.5,0.1,C769,South,340,41,10,S5
O127,2024-04-01,P1028,FAS-FOO-1028,Fashion,Footwear,12,865.79,0.0,C1835,West,99,77,16,S12
O128,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,3,4040.19,0.1,C2335,East,70,58,13,S13
O129,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,1,8100.87,0.0,C5528,North,297,55,19,S7
O130,2024-04-01,P1038,BEA-SKI-1038,Beauty,Skincare,7,6765.1,0.05,C232,West,494,39,16,S1
O131,2024-04-01,P1009,ELE-AUD-1009,Electronics,Audio,12,1447.1,0.0,C3033,East,251,56,15,S12
O132,2024-04-01,P1048,SPO-FIT-1048,Sports,Fitness Equipment,3,2349.68,0.0,C5893,West,53,33,8,S15
O133,2024-04-01,P1032,BEA-SKI-1032,Beauty,Skincare,2,880.46,0.0,C2602,North,351,55,5,S6
O134,2024-04-01,P1036,BEA-SKI-1036,Beauty,Skincare,6,7127.45,0.0,C4010,North,265,76,11,S2
O135,2024-04-01,P1049,SPO-OUT-1049,Sports,Outdoor Gear,3,3758.09,0.05,C5306,South,324,23,3,S5
O136,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,1,4065.78,0.0,C2587,Central,337,17,13,S13
O137,2024-04-01,P1037,BEA-HAI-1037,Beauty,Haircare,8,2497.42,0.1,C4334,Central,276,71,13,S13
O138,2024-04-01,P1022,FAS-FOO-1022,Fashion,Footwear,2,2522.13,0.2,C3405,North,266,33,3,S10
O139,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6462.89,0.1,C3245,Central,418,55,5,S8
O140,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,4,1962.16,0.1,C5053,West,386,46,10,S5
O141,2024-04-01,P1019,HOM-COO-1019,Home & Kitchen,Cookware,3,1235.89,0.0,C3410,South,394,27,5,S4
O142,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3127.54,0.0,C5585,CENTRAL,412,29,8,S14
O143,2024-04-01,P1039,BEA-HAI-1039,Beauty,Haircare,4,3414.42,0.0,C891,East,113,38,14,S5
O144,2024-04-01,P1008,ELE-WEA-1008,Electronics,Wearables,1,1769.83,0.0,C5475,East,332,71,11,S6
O145,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,2,2535.93,0.0,C3726,South,473,36,14,S11
O146,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,2,6398.41,0.05,C4625,South,407,29,11,S9
O147,2024-04-01,P1038,BEA-SKI-1038,Beauty,Skincare,7,7222.1,0.0,C594,South,253,74,16,S1
O148,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,1,3756.0,0.0,C2531,North,306,78,7,S12
O149,2024-04-01,P1013,HOM-COO-1013,Home & Kitchen,Cookware,3,3663.27,0.1,C4486,South,395,44,17,S3
O150,2024-04-01,P1049,SPO-OUT-1049,Sports,Outdoor Gear,6,3736.61,0.0,C3828,South,41,62,3,S5
O151,2024-04-01,P1049,SPO-OUT-1049,Sports,Outdoor Gear,3,3669.47,0.0,C681,West,378,62,3,S5
O152,2024-04-01,P1014,HOM-STO-1014,Home & Kitchen,Storage,2,2581.44,0.0,C1636,East,110,72,17,S12
O153,2024-04-01,P1011,HOM-STO-1011,Home & Kitchen,Storage,3,3726.36,0.0,C2335,South,151,39,6,S12
O154,2024-04-01,P1008,ELE-WEA-1008,Electronics,Wearables,2,1766.67,0.0,C764,West,72,67,11,S6
O155,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,3,2543.49,0.0,C2061,North,208,74,14,S11
O156,2024-04-01,P1021,FAS-WOM-1021,Fashion,Women's Apparel,1,4960.68,0.0,C4511,South,356,34,12,S9
O157,2024-04-01,P1011,HOM-STO-1011,Home & Kitchen,Storage,4,4004.36,0.0,C3742,East,499,43,6,S12
O158,2024-04-01,P1048,SPO-FIT-1048,Sports,Fitness Equipment,3,2277.21,0.0,C5339,South,256,41,8,S15
O159,2024-04-01,P1047,SPO-OUT-1047,Sports,Outdoor Gear,3,7735.24,0.0,C413,Central,426,58,13,S3
O160,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,5008.08,0.0,C5238,East,321,76,16,S3
O161,2024-04-01,P1041,SPO-OUT-1041,Sports,Outdoor Gear,3,501.4,0.0,C3777,South,475,18,11,S3
O162,2024-04-01,P1009,ELE-AUD-1009,Electronics,Audio,9,1468.65,0.0,C5005,North,22,42,15,S12
O163,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,4,3763.38,0.1,C4060,East,22,38,13,S13
O164,2024-04-01,P1026,FAS-MEN-1026,Fashion,Men's Apparel,1,6326.35,0.0,C5965,West,388,20,14,S15
O165,2024-04-01,P1011,HOM-STO-1011,Home & Kitchen,Storage,3,3827.8,0.0,C2612,West,250,49,6,S12
O166,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,5,2616.75,0.05,C3854,North,218,45,14,S11
O167,2024-04-01,P1034,BEA-SKI-1034,Beauty,Skincare,1,7596.19,0.0,C1154,Central,402,50,17,S4
O168,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,2,2665.04,0.0,C4817,South,466,29,14,S11
O169,2024-04-02,P1043,SPO-OUT-1043,Sports,Outdoor Gear,3,1584.35,0.15,C1489,North,427,48,19,S5
O170,2024-04-02,P1022,FAS-FOO-1022,Fashion,Footwear,4,2683.54,0.05,C304,West,488,43,3,S10
O171,2024-04-02,P1028,FAS-FOO-1028,Fashion,Footwear,10,928.26,0.0,C5767,North,458,65,16,S12
O172,2024-04-02,P1014,HOM-STO-1014,Home & Kitchen,Storage,6,2764.11,0.15,C4420,South,190,56,17,S12
O173,2024-04-02,P1035,BEA-HAI-1035,Beauty,Haircare,2,3844.16,0.0,C584,West,156,54,7,S12
O174,2024-04-02,P1017,HOM-STO-1017,Home & Kitchen,Storage,9,6378.27,0.05,C2297,South,247,18,14,S12
O175,2024-04-02,P1003,ELE-AUD-1003,Electronics,Audio,2,3229.87,0.0,C5204,West,44,50,19,S3
O176,2024-04-02,P1031,BEA-HAI-1031,Beauty,Haircare,6,2431.14,0.0,C1546,Central,232,61,14,S11
O177,2024-04-02,P1023,FAS-MEN-1023,Fashion,Men's Apparel,5,1946.47,0.0,C5024,South,409,78,10,S5
O178,2024-04-02,P1042,SPO-FIT-1042,Sports,Fitness Equipment,4,1289.03,0.0,C3472,North,109,22,4,S11
O179,2024-04-02,P1042,SPO-FIT-1042,Sports,Fitness Equipment,2,1370.73,0.0,C4410,West,298,17,4,S11
O180,2024-04-02,P1045,SPO-OUT-1045,Sports,Outdoor Gear,10,7939.36,0.0,C3786,South,477,59,11,S7
O181,2024-04-02,P1014,HOM-STO-1014,Home & Kitchen,Storage,3,2686.26,0.0,C3903,South,456,79,17,S12
O182,2024-04-02,P1036,BEA-SKI-1036,Beauty,Skincare,9,7174.44,0.0,C3414,North,498,29,11,S2
O183,2024-04-02,P1014,HOM-STO-1014,Home & Kitchen,Storage,4,2629.22,0.05,C3244,East,259,61,17,S12
O184,2024-04-02,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3298.87,0.0,C5568,North,216,48,8,S14
O185,2024-04-02,P1031,BEA-HAI-1031,Beauty,Haircare,5,2479.55,0.0,C865,North,65,57,14,S11
O186,2024-04-02,P1037,BEA-HAI-1037,Beauty,Haircare,6,2541.52,0.0,C2592,East,167,41,13,S13
O187,2024-04-02,P1028,FAS-FOO-1028,Fashion,Footwear,10,946.9,0.0,C53,East,495,37,16,S12
O188,2024-04-02,P1023,FAS-MEN-1023,Fashion,Men's Apparel,5,1964.75,0.0,C3835,Central,461,73,10,S5
O189,2024-04-02,P1031,BEA-HAI-1031,Beauty,Haircare,3,2553.19,0.0,C3455,South,325,59,14,S11
O190,2024-04-02,P1042,SPO-FIT-1042,Sports,Fitness Equipment,2,1373.81,0.0,C4496,South,47,29,4,S11
O191,2024-04-02,P1003,ELE-AUD-1003,Electronics,Audio,2,2992.34,0.0,C1532,North,334,59,19,S3
O192,2024-04-02,P1008,ELE-WEA-1008,Electronics,Wearables,1,1636.0,0.0,C390,West,69,25,11,S6
O193,2024-04-02,P1027,FAS-WOM-1027,Fashion,Women's Apparel,3,6806.78,0.1,C758,North,25,53,6,S5
O194,2024-04-02,P1006,ELE-AUD-1006,Electronics,Audio,1,5209.0,0.0,C5424,West,114,53,16,S3
O195,2024-04-02,P1030,BEA-SKI-1030,Beauty,Skincare,6,5750.35,0.0,C2155,South,28,50,11,S8
O196,2024-04-02,P1047,SPO-OUT-1047,Sports,Outdoor Gear,4,7592.76,0.0,C3865,North,105,17,13,S3
O197,2024-04-02,P1047,SPO-OUT-1047,Sports,Outdoor Gear,2,7758.85,0.0,C3405,North,464,54,13,S3
O198,2024-04-02,P1002,ELE-WEA-1002,Electronics,Wearables,1,6617.43,0.15,C5578,North,439,64,5,S8
O199,2024-04-02,P1014,HOM-STO-1014,Home & Kitchen,Storage,4,2666.47,0.1,C5630,South,315,56,17,S12
O200,2024-04-02,P1020,FAS-MEN-1020,Fashion,Men's Apparel,2,4009.76,0.05,C3432,South,366,48,13,S13
O201,2024-04-02,P1045,SPO-OUT-1045,Sports,Outdoor Gear,10,7583.26,0.1,C1199,NORTH,428,53,11,S7
O202,2024-04-02,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,4,7906.81,0.0,C3712,South,168,19,19,S7
O203,2024-04-02,P1020,FAS-MEN-1020,Fashion,Men's Apparel,3,3882.33,0.1,C1905,South,424,67,13,S13
O204,2024-04-02,P1032,BEA-SKI-1032,Beauty,Skincare,3,852.98,0.0,C5718,East,83,18,5,S6
O205,2024-04-02,P1022,FAS-FOO-1022,Fashion,Footwear,1,2548.79,0.0,C3251,North,270,42,3,S10
O206,2024-04-02,P1026,FAS-MEN-1026,Fashion,Men's Apparel,3,6155.47,0.0,C193,South,175,40,14,S15
O207,2024-04-02,P1008,ELE-WEA-1008,Electronics,Wearables,1,1734.25,0.0,C870,South,30,64,11,S6
O208,2024-04-02,P1049,SPO-OUT-1049,Sports,Outdoor Gear,1,3783.82,0.05,C2069,North,490,54,3,S5
O209,2024-04-02,P1011,HOM-STO-1011,Home & Kitchen,Storage,6,3880.69,0.0,C3218,South,90,20,6,S12
O210,2024-04-02,P1037,BEA-HAI-1037,Beauty,Haircare,7,2701.67,0.0,C5926,North,398,47,13,S13
O211,2024-04-02,P1017,HOM-STO-1017,Home & Kitchen,Storage,10,6268.22,0.1,C1976,Central,274,29,14,S12
O212,2024-04-02,P1047,SPO-OUT-1047,Sports,Outdoor Gear,1,7289.74,0.0,C1119,East,241,26,13,S3
O213,2024-04-02,P1033,BEA-HAI-1033,Beauty,Haircare,1,7176.8,0.0,C1821,South,364,57,15,S8
O214,2024-04-02,P1049,SPO-OUT-1049,Sports,Outdoor Gear,4,3621.55,0.0,C2168,North,477,30,3,S5
O215,2024-04-02,P1023,FAS-MEN-1023,Fashion,Men's Apparel,4,1913.78,0.05,C4111,South,496,49,10,S5
O216,2024-04-02,P1028,FAS-FOO-1028,Fashion,Footwear,6,867.02,0.0,C978,North,181,32,16,S12
O217,2024-04-02,P1010,HOM-COO-1010,Home & Kitchen,Cookware,1,7508.71,0.0,C5475,South,201,78,8,S7
O218,2024-04-02,P1029,FAS-MEN-1029,Fashion,Men's Apparel,1,1414.49,0.0,C2035,West,307,79,12,S14
O219,2024-04-02,P1045,SPO-OUT-1045,Sports,Outdoor Gear,15,7884.1,0.2,C218,East,64,23,11,S7
O220,2024-04-02,P1036,BEA-SKI-1036,Beauty,Skincare,7,7070.31,0.0,C206,South,428,42,11,S2
