ProductID,AvgDailyDemand,StdDailyDemand,AvgWeeklyDemand,AvgMonthlyDemand,CV,Trend,ProductName,DemandClass,InventoryAtStart,ReorderPoint,LeadTimeDays,SafetyStock,ComputedReorderPoint,InventoryCoverageDays,StockoutRisk,ExcessInventoryRisk,RiskLevel
P1011,10.799270072992702,7.485503321628784,75.59489051094891,323.97810218978105,0.6931490064637671,-1.657378740970061,HOM-STO-1011,Slow-moving,499,51,6,30.253844949733537,95.04946538768975,46.20682663061845,False,False,LOW RISK
P1012,30.251824817518248,22.850729676650605,211.7627737226277,907.5547445255474,0.7553504561952306,-6.02063983488131,HOM-SMA-1012,Fast-moving,94,41,7,99.75462420128846,311.5173979239162,3.107250573048619,True,False,MEDIUM RISK
P1013,10.89051094890511,8.74976423364104,76.23357664233578,326.7153284671533,0.8034300938396933,-4.288957688338485,HOM-COO-1013,Slow-moving,195,58,17,59.52573352201339,244.66441965340024,17.905495978552278,True,False,MEDIUM RISK
P1014,11.569343065693433,8.594710009805889,80.98540145985402,347.08029197080293,0.7428866065258086,-4.074303405572755,HOM-STO-1014,Fast-moving,401,25,17,58.47088036677207,255.14971248356042,34.66056782334384,False,False,LOW RISK
P1015,4.9178832116788325,3.3870666866087578,34.425182481751825,147.53649635036498,0.6887245062195173,-2.366357069143451,HOM-SMA-1015,Slow-moving,322,33,8,15.807117628051882,55.150183321482544,65.47532467532467,False,True,MEDIUM RISK
P1016,11.437956204379562,8.78869251412107,80.06569343065694,343.13868613138686,0.7683796263143501,-2.9783281733746056,HOM-COO-1016,Medium-moving,358,15,6,35.52089007359452,104.14862729987189,31.29929802169751,False,False,LOW RISK
P1017,30.72992700729927,22.306245966890756,215.1094890510949,921.897810218978,0.7258802131743547,-5.52321981424147,HOM-STO-1017,Fast-moving,50,17,14,137.71284448880184,567.9318225909916,1.6270783847980996,True,False,MEDIUM RISK
P1018,11.171532846715328,8.954473100373784,78.2007299270073,335.1459854014598,0.8015438188508386,-4.542827657378744,HOM-SMA-1018,Medium-moving,214,19,11,49.00273532429594,171.88959663816456,19.155831427638027,False,False,LOW RISK
P1019,11.177007299270072,8.686688453746413,78.23905109489051,335.31021897810217,0.7771926975760056,-2.401444788441692,HOM-COO-1019,Medium-moving,441,53,5,32.0496427052002,87.93467920155055,39.456,False,False,LOW RISK
P1020,11.045620437956204,8.371390677854157,77.31934306569343,331.3686131386861,0.7578922999279825,-1.829721362229096,FAS-MEN-1020,Slow-moving,178,38,13,49.802739254308264,193.3958049477389,16.114984305303157,True,False,MEDIUM RISK
P1021,4.649635036496351,3.2418453247652885,32.54744525547446,139.48905109489053,0.6972257605853132,-0.7636738906088731,FAS-WOM-1021,Slow-moving,222,23,12,18.529634682151254,74.32525512010747,47.745682888540024,False,False,LOW RISK
P1022,11.436131386861314,8.478035347952602,80.0529197080292,343.0839416058394,0.7413377007624103,-3.747162022703809,FAS-FOO-1022,Medium-moving,52,60,3,24.229240152181006,58.53763431276495,4.546992181266954,True,False,MEDIUM RISK
P1023,11.096715328467154,8.664778151578473,77.67700729927007,332.9014598540146,0.7808417081179087,-1.9246646026831635,FAS-MEN-1023,Medium-moving,368,38,10,45.210716725435255,156.1778700101068,33.16296661733267,False,False,LOW RISK
P1024,4.773722627737226,3.5428795665541317,33.41605839416058,143.21167883211675,0.742162844981523,-1.2177502579979325,FAS-WOM-1024,Slow-moving,166,39,4,11.691502569628634,30.78639308057754,34.7737003058104,False,False,LOW RISK
P1025,11.162408759124087,8.411116699489298,78.13686131386861,334.87226277372264,0.7535216529867804,-3.879256965944271,FAS-FOO-1025,Medium-moving,198,31,14,51.92800293394195,208.20172556167915,17.73810691515449,True,False,MEDIUM RISK
P1026,11.383211678832115,8.595471528643268,79.68248175182482,341.4963503649635,0.7551007370465711,-6.05572755417956,FAS-MEN-1026,Medium-moving,354,22,14,53.06616073762275,212.43112424127236,31.09842898364861,False,False,LOW RISK
P1027,11.677007299270072,8.69867609460484,81.73905109489051,350.31021897810217,0.7449405375595332,-2.463364293085657,FAS-WOM-1027,Fast-moving,261,72,6,35.157074484720845,105.21911828034126,22.351617440225038,False,False,LOW RISK
P1028,30.33941605839416,22.649498003369555,212.37591240875912,910.1824817518248,0.7465370447399564,-4.111455108359144,FAS-FOO-1028,Fast-moving,30,73,16,149.48668682223905,634.9173437565456,0.9888127029953085,True,False,MEDIUM RISK
P1029,11.306569343065693,9.101147681647271,79.14598540145985,339.1970802919708,0.8049433391773249,-4.109391124870991,FAS-MEN-1029,Medium-moving,225,37,12,52.02004563294254,187.69887774973085,19.899935442220787,False,False,LOW RISK
P1030,29.21715328467153,20.57336978594912,204.52007299270076,876.5145985401459,0.7041538094247779,-3.493292053663565,BEA-SKI-1030,Fast-moving,329,15,11,112.58634461782556,433.97503074921235,11.260508400474675,True,False,MEDIUM RISK
P1031,11.421532846715328,8.444639149782207,79.9507299270073,342.6459854014598,0.7393612804091148,-5.80701754385965,BEA-HAI-1031,Medium-moving,104,21,14,52.13496164814796,212.03642150216257,9.105607924588593,True,False,MEDIUM RISK
P1032,11.195255474452557,8.460912132925452,78.36678832116789,335.85766423357666,0.7557587365677503,-3.648090815273471,BEA-SKI-1032,Medium-moving,68,47,5,31.21663822344218,87.19291559570496,6.074001629991849,True,False,MEDIUM RISK
P1033,4.748175182481752,3.304544589726245,33.237226277372265,142.44525547445255,0.6959609666295089,-1.6676986584107285,BEA-HAI-1033,Slow-moving,266,37,15,21.117436168635788,92.34006390586207,56.02152190622598,False,False,LOW RISK
P1034,11.42883211678832,9.230763331738704,80.00182481751824,342.8649635036496,0.8076733683207424,-4.0794633642930815,BEA-SKI-1034,Medium-moving,248,15,17,62.79803016603116,257.0881761514326,21.699505029538564,True,False,MEDIUM RISK
P1035,11.565693430656934,8.490518966196928,80.95985401459853,346.97080291970804,0.7341124003590908,-1.9298245614035077,BEA-HAI-1035,Fast-moving,327,30,7,37.06527278261659,118.02512679721512,28.273272325654784,False,False,LOW RISK
P1036,29.098540145985403,21.86022904620813,203.68978102189783,872.9562043795621,0.7512483078716953,-8.740970072239406,BEA-SKI-1036,Fast-moving,339,56,11,119.62859300287674,439.71253460871617,11.650068982817007,True,False,MEDIUM RISK
P1037,30.494525547445257,24.40678209070406,213.4616788321168,914.8357664233577,0.8003660215250927,-4.461300309597493,BEA-HAI-1037,Fast-moving,140,56,13,145.19984209023093,541.6286742070192,4.590987971994495,True,False,MEDIUM RISK
P1038,29.14051094890511,22.35798900020607,203.98357664233575,874.2153284671533,0.7672476656091757,-14.062951496388006,BEA-SKI-1038,Fast-moving,318,25,16,147.56272740136006,613.8109025838419,10.912643246289687,True,False,MEDIUM RISK
P1039,11.043795620437956,8.48904540955373,77.30656934306569,331.3138686131387,0.7686709987500734,-4.167182662538695,BEA-HAI-1039,Slow-moving,176,35,14,52.40911411447161,207.02225280060298,15.93654990085922,True,False,MEDIUM RISK
P1040,11.364963503649635,9.672612280818754,79.55474452554745,340.94890510948903,0.8510904832833457,-0.7512899896800819,SPO-FIT-1040,Medium-moving,489,61,4,31.919620526701888,77.37947454130043,43.02697495183044,False,False,LOW RISK
P1041,11.748175182481752,8.74995410540928,82.23722627737226,352.4452554744525,0.744792614129277,-4.053663570691423,SPO-OUT-1041,Fast-moving,41,60,11,47.8835192557795,177.11344626307877,3.4899036968002486,True,False,MEDIUM RISK
P1042,11.81021897810219,8.677469067752208,82.67153284671534,354.3065693430657,0.7347424365154835,-4.074303405572745,SPO-FIT-1042,Fast-moving,307,20,4,28.635647923582283,75.87652383599104,25.99443757725587,False,False,LOW RISK
P1043,11.452554744525548,9.088410606663617,80.16788321167884,343.57664233576645,0.7935705883447517,-3.847265221878212,SPO-OUT-1043,Medium-moving,104,48,19,65.36551459655232,282.96405474253777,9.080943275971956,True,False,MEDIUM RISK
P1044,11.054744525547443,8.999325351946633,77.38321167883211,331.64233576642334,0.8140690480136604,-1.1331269349845094,SPO-FIT-1044,Slow-moving,26,70,13,53.53842285169387,197.25010168381064,2.3519313304721035,True,False,MEDIUM RISK
P1045,30.177007299270077,23.25330784953189,211.2390510948905,905.3102189781022,0.7705637480524565,-2.517027863777076,SPO-OUT-1045,Fast-moving,33,66,11,127.25212049801341,459.1992007899843,1.0935478018987723,True,False,MEDIUM RISK
P1046,4.7700729927007295,3.4911822057765844,33.3905109489051,143.10218978102188,0.7318928266126887,-0.6460268317853469,SPO-FIT-1046,Slow-moving,361,33,11,19.10525339468834,71.57605631439637,75.68018362662586,False,True,MEDIUM RISK
P1047,11.337591240875913,8.841540811026624,79.36313868613139,340.12773722627736,0.7798429686854321,-3.480908152734773,SPO-OUT-1047,Medium-moving,154,75,13,52.59973743463552,199.9884235660224,13.583132142282311,True,False,MEDIUM RISK
P1048,11.231751824817518,8.30954688916285,78.62226277372262,336.9525547445256,0.7398264330237597,-3.4231166150670838,SPO-FIT-1048,Medium-moving,483,59,8,38.77986389583657,128.63387849437672,43.003086921202275,False,False,LOW RISK
P1049,11.257299270072991,8.496339764983917,78.80109489051095,337.7189781021898,0.7547405075719219,-0.2796697626418963,SPO-OUT-1049,Medium-moving,267,44,3,24.28155204967793,58.0534498598969,23.717944561517267,False,False,LOW RISK
